Drug Name,Side Effects,Age Category,Medical Condition
Embeline E,"Skin irritation, burning, itching, dryness",All,Treatment of various skin conditions
Flac,"Side effects may vary, refer to prescribing information",Adult,Not specified
Halcinonide,"Skin irritation, burning, itching",All,Treatment of various skin conditions
Halonate,"Skin irritation, burning, itching",All,Treatment of various skin conditions
Kerasal Ultra 20,"Skin irritation, burning, itching",All,"Treatment of dry, rough, and thickened skin"
LoKara,"Skin irritation, burning, itching",All,Treatment of various skin conditions
Nolix,"Skin irritation, burning, itching",All,Treatment of various skin conditions
Olux,"Skin irritation, burning, itching",All,Treatment of certain skin conditions
Olux-E,"Skin irritation, burning, itching",All,Treatment of certain skin conditions
Prednicarbate,"Skin irritation, burning, itching",All,Treatment of various skin conditions
Quinja,"Skin irritation, burning, itching",All,Treatment of various skin conditions
Synalar,"Skin irritation, burning, itching",All,Treatment of various skin conditions
Synalar Ointment,"Skin irritation, burning, itching",All,Treatment of various skin conditions
Tovet,"Skin irritation, burning, itching",All,Treatment of various skin conditions
Ultralytic,"Skin irritation, burning, itching",All,Treatment of certain skin conditions
Ultralytic 2,"Skin irritation, burning, itching",All,Treatment of certain skin conditions
Vytone,"Skin irritation, burning, itching",All,Treatment of various skin conditions
Cialis,"Headache, indigestion, muscle aches",Adult,Treatment of erectile dysfunction and symptoms of benign prostatic hyperplasia
Sildenafil,"Headache, flushing, indigestion",Adult,Treatment of erectile dysfunction and pulmonary arterial hypertension
Viagra,"Headache, flushing, indigestion",Adult,Treatment of erectile dysfunction
Tadalafil,"Headache, indigestion, muscle aches",Adult,Treatment of erectile dysfunction and symptoms of benign prostatic hyperplasia
Caverject Impulse,Pain or burning sensation at the injection site,Adult,Treatment of erectile dysfunction
Staxyn,"Headache, flushing, indigestion",Adult,Treatment of erectile dysfunction
Vardenafil,"Headache, flushing, indigestion",Adult,Treatment of erectile dysfunction
Alprostadil,Pain or burning sensation at the injection site,Adult,Treatment of erectile dysfunction and certain vascular disorders
Edex,Pain or burning sensation at the injection site,Adult,Treatment of erectile dysfunction
Stendra,"Headache, flushing, indigestion",Adult,Treatment of erectile dysfunction
Caverject,Pain or burning sensation at the injection site,Adult,Treatment of erectile dysfunction
Muse,"Pain, priapism (prolonged erection)",Adult,Treatment of erectile dysfunction
Avanafil,"Headache, flushing, indigestion",Adult,Treatment of erectile dysfunction
Entereg,"Nausea, headache, abdominal pain",Adult,Accelerated postoperative gastrointestinal recovery in patients undergoing bowel resection with primary anastomosis
Lidocaine Viscous,Numbness or tingling at the application site,Adult,"Treatment of pain or discomfort in the mouth, throat, or esophagus"
Alvimopan,"Abdominal pain, diarrhea",Adult,Treatment of postoperative ileus (delayed gastric emptying) following partial large or small bowel resection with primary anastomosis
Lidocaine,Numbness or tingling at the application site,Adult,Treatment of local anesthesia and pain relief
Glydo,"Headache, dizziness, constipation",Adult,Treatment of opioid-induced constipation in adult patients with chronic non-cancer pain
Xylocaine Jelly,Numbness or tingling at the application site,Adult,Treatment of local anesthesia and pain relief
LTA II Kit,N/A,All,Diagnostic kit for determination of heparin sensitivity
Omeprazole,"Headache, nausea, abdominal pain",Adult,"Treatment of gastroesophageal reflux disease (GERD), stomach ulcers, and other conditions related to excess stomach acid"
Pantoprazole,"Headache, diarrhea, abdominal pain",Adult,"Treatment of gastroesophageal reflux disease (GERD), stomach ulcers, and other conditions related to excess stomach acid"
Nexium,"Headache, diarrhea, abdominal pain",Adult,"Treatment of gastroesophageal reflux disease (GERD), stomach ulcers, and other conditions related to excess stomach acid"
Famotidine,"Headache, dizziness, constipation",Adult,"Treatment of stomach and duodenal ulcers, gastroesophageal reflux disease (GERD), and other conditions related to excess stomach acid"
Protonix,"Headache, diarrhea, abdominal pain",Adult,"Treatment of gastroesophageal reflux disease (GERD), stomach ulcers, and other conditions related to excess stomach acid"
Prilosec,"Headache, nausea, abdominal pain",Adult,"Treatment of gastroesophageal reflux disease (GERD), stomach ulcers, and other conditions related to excess stomach acid"
Dexilant,"Diarrhea, stomach pain, nausea",Adult,Treatment of gastroesophageal reflux disease (GERD) and other conditions related to excess stomach acid
Aciphex,"Headache, diarrhea, abdominal pain",Adult,"Treatment of gastroesophageal reflux disease (GERD), stomach ulcers, and other conditions related to excess stomach acid"
Prilosec OTC,"Headache, nausea, abdominal pain",Adult,Treatment of frequent heartburn
Esomeprazole,"Headache, diarrhea, abdominal pain",Adult,"Treatment of gastroesophageal reflux disease (GERD), stomach ulcers, and other conditions related to excess stomach acid"
Lansoprazole,"Headache, diarrhea, abdominal pain",Adult,"Treatment of gastroesophageal reflux disease (GERD), stomach ulcers, and other conditions related to excess stomach acid"
Prevacid,"Headache, diarrhea, abdominal pain",Adult,"Treatment of gastroesophageal reflux disease (GERD), stomach ulcers, and other conditions related to excess stomach acid"
Pepcid,"Headache, dizziness, constipation",Adult,"Treatment of stomach and duodenal ulcers, gastroesophageal reflux disease (GERD), and other conditions related to excess stomach acid"
Rabeprazole,"Headache, diarrhea, abdominal pain",Adult,"Treatment of gastroesophageal reflux disease (GERD), stomach ulcers, and other conditions related to excess stomach acid"
Sucralfate,"Constipation, dry mouth, stomach discomfort",Adult,Treatment of stomach ulcers and other conditions related to excess stomach acid
Pepcid AC,"Headache, dizziness, constipation",Adult,Treatment of heartburn associated with acid indigestion and sour stomach
Carafate,"Constipation, dry mouth, stomach discomfort",Adult,Treatment of stomach ulcers and other conditions related to excess stomach acid
Nexium 24HR,"Headache, diarrhea, abdominal pain",Adult,Treatment of frequent heartburn
Protonix IV,"Headache, diarrhea, abdominal pain",Adult,"Treatment of gastroesophageal reflux disease (GERD), stomach ulcers, and other conditions related to excess stomach acid"
Acid Controller Maximum Strength,N/A,All,"Relief of heartburn, acid indigestion, and sour stomach"
Acid Controller Original Strength,N/A,All,"Relief of heartburn, acid indigestion, and sour stomach"
Acid Reducer Maximum Strength,N/A,All,"Relief of heartburn, acid indigestion, and sour stomach"
Cimetidine,"Diarrhea, dizziness, headache",Adult,"Treatment of stomach ulcers, gastroesophageal reflux disease (GERD), and other"
Dexlansoprazole,"Diarrhea, nausea, stomach pain",Adult,"Treatment of gastroesophageal reflux disease (GERD), stomach ulcers, and other conditions related to excess stomach acid"
Heartburn Relief,N/A,Adult,Relief of heartburn symptoms caused by acid reflux
Heartburn Relief Maximum Strength,N/A,Adult,Relief of frequent heartburn symptoms caused by acid reflux
Metoclopramide,"Drowsiness, restlessness, muscle stiffness",Adult,Treatment of gastroesophageal reflux disease (GERD) and relief of symptoms such as heartburn and nausea
Omeprazole / Sodium Bicarbonate,"Nausea, stomach pain, diarrhea",Adult,"Treatment of heartburn, acid reflux, and stomach ulcers"
Pepcid AC Chewable Tablets,N/A,Adult,Relief of heartburn symptoms caused by acid reflux
Pepcid Oral Suspension,N/A,Adult,Relief of heartburn symptoms caused by acid reflux
Mylanta,N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Reglan,"Drowsiness, restlessness, muscle stiffness",Adult,Treatment of gastroesophageal reflux disease (GERD) and relief of symptoms such as heartburn and nausea
Zegerid,"Headache, diarrhea, stomach pain",Adult,Treatment of gastroesophageal reflux disease (GERD) and stomach ulcers
Calcium Carbonate,"Constipation, gas, upset stomach",Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Nexium IV,"Headache, diarrhea, stomach pain",Adult,"Treatment of gastroesophageal reflux disease (GERD), stomach ulcers, and other conditions related to excess stomach acid"
Nizatidine,"Diarrhea, headache, dizziness",Adult,"Treatment of ulcers in the stomach and intestines, gastroesophageal reflux disease (GERD), and conditions that cause the stomach to produce too much acid"
Aluminum Hydroxide / Magnesium Hydroxide / Simethicone,"Constipation, diarrhea, stomach cramps",Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Bethanechol,"Nausea, stomach cramps, increased saliva production",Adult,Treatment of gastroesophageal reflux disease (GERD) and conditions that affect the movement of food through the digestive system
Calci-Chew,"Constipation, upset stomach",Adult,Calcium supplement used to prevent or treat low blood calcium levels
Pepcid Complete,N/A,Adult,Relief of heartburn symptoms caused by acid reflux
Prevacid OTC,N/A,Adult,Treatment of frequent heartburn caused by acid reflux
Prevacid SoluTab,N/A,Adult,"Treatment of gastroesophageal reflux disease (GERD), stomach ulcers, and other conditions related to excess stomach acid"
Tagamet HB,"Headache, diarrhea, dizziness",Adult,"Treatment of ulcers in the stomach and intestines, gastroesophageal reflux disease (GERD), and conditions that cause the stomach to produce too much acid"
Titralac,N/A,Adult,"Relief of heartburn, acid indigest"
Tums Regular Strength,N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Tums Smoothies,N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Zegerid OTC,"Headache, diarrhea, stomach pain",Adult,Treatment of frequent heartburn caused by acid reflux
Aciphex Sprinkle,"Diarrhea, stomach pain, headache",Adult,"Treatment of gastroesophageal reflux disease (GERD), stomach ulcers, and conditions that cause the stomach to produce too much acid"
Alamag,N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Alka-Seltzer Heartburn + Gas,N/A,Adult,Relief of heartburn symptoms and relief of gas-related symptoms
Almacone,N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Aluminum Hydroxide / Magnesium Carbonate,"Constipation, upset stomach",Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Aluminum Hydroxide / Magnesium Hydroxide,"Constipation, upset stomach",Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Aluminum Hydroxide,"Constipation, upset stomach",Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Amphojel,"Constipation, upset stomach",Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Axid AR,"Headache, dizziness, constipation",Adult,"Treatment of ulcers in the stomach and intestines, gastroesophageal reflux disease (GERD), and conditions that cause the stomach to produce too much acid"
Belladonna,"Dry mouth, blurred vision, constipation",Adult,Relief of stomach and intestinal cramps
Calcium Carbonate / Famotidine / Magnesium Hydroxide,"Constipation, upset stomach, diarrhea",Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Calcium Carbonate / Magnesium Hydroxide / Simethicone,"Constipation, upset stomach, diarrhea",Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Calcium Carbonate / Simethicone,"Constipation, upset stomach, diarrhea",Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Di-Gel,N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Dual Action Complete,N/A,Adult,Relief of heartburn symptoms and relief of gas-related symptoms
Duo Fusion,N/A,Adult,Relief of heartburn symptoms and relief of gas-related symptoms
Gas-X with Maalox Extra Strength,N/A,Adult,Relief of gas-related symptoms
Gelusil,N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Mi-Acid,N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Milantex,N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Mintox,N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Mintox Plus,N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Mylanta Coat & Cool,N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Mylanta Maximum Strength,N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Mylanta Tonight,N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Rulox,N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach"
Sodium Citrate,N/A,Adult,Alkalinizing agent used to relieve heartburn and sour stomach
Tricitrasol,N/A,Adult,Alkalinizing agent used to relieve heartburn and sour stomach
Tums Chewy Bites with Gas Relief (Lemon & Strawberry),N/A,Adult,"Relief of heartburn, acid indigestion, and sour stomach; also provides gas relief"
Zegerid with Magnesium Hydroxide,"Headache, diarrhea, stomach pain, nausea",Adult,Treatment of frequent heartburn caused by acid reflux
Allopurinol,"Rash, nausea, vomiting, liver problems",Adult,Treatment of gout and certain types of kidney stones
Uloric,"Gout flare-ups, liver problems",Adult,Treatment of gout
Zyloprim,"Rash, nausea, vomiting, liver problems",Adult,Treatment of gout and certain types of kidney stones
Aloprim,N/A,Adult,Treatment of gout
Febuxostat,"Nausea, joint pain, liver problems",Adult,Treatment of gout
Krystexxa,"Gout flare-ups, infusion-related reactions",Adult,Treatment of severe gout
Probenecid,"Rash, nausea, vomiting, kidney stone formation",Adult,Treatment of gout and certain types of kidney stones
Pegloticase,"Gout flare-ups, infusion-related reactions",Adult,"Treatment of severe, chronic gout"
Rilonacept,"Injection site reactions, infections, allergic reactions",Adult,Treatment of cryopyrin-associated periodic syndromes (CAPS)
Minoxidil,"Scalp irritation, hair growth in unwanted areas",Adult,Treatment of hair loss (alopecia)
Azulfidine,"Nausea, vomiting, stomach upset",Adult,"Treatment of inflammatory bowel disease (IBD), rheumatoid arthritis"
Sulfasalazine,"Nausea, vomiting, stomach upset",Adult,"Treatment of inflammatory bowel disease (IBD), rheumatoid arthritis"
Rogaine,"Scalp irritation, unwanted hair growth",Adult,Treatment of hair loss (alopecia)
Kenalog-10,"Injection site reactions, immune system suppression",Adult,Treatment of various inflammatory conditions
Aristospan,"Injection site reactions, immune system suppression",Adult,Treatment of various inflammatory conditions
Rogaine Men's Extra Strength,"Scalp irritation, unwanted hair growth",Adult,Treatment of hair loss (alopecia) in men
Rogaine Women's,"Scalp irritation, unwanted hair growth",Adult,Treatment of hair loss (alopecia) in women
Hair Regrowth Treatment for Women,"Scalp irritation, unwanted hair growth",Adult,Treatment of hair loss (alopecia) in women
Hair Regrowth Treatment for Men,"Scalp irritation, unwanted hair growth",Adult,Treatment of hair loss (alopecia) in men
Azulfidine EN-tabs,"Nausea, vomiting, stomach upset",Adult,"Treatment of inflammatory bowel disease (IBD), rheumatoid arthritis"
Zyrtec,"Drowsiness, dry mouth, headache",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Cetirizine,"Drowsiness, dry mouth, headache",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Fluticasone,"Nasal irritation, nosebleeds, headache",Adult,"Treatment of nasal allergy symptoms, such as congestion, sneezing, itching"
Flonase,"Nasal irritation, nosebleeds, headache",Adult,"Treatment of nasal allergy symptoms, such as congestion, sneezing, itching"
Allegra,"Drowsiness, headache, nausea",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Claritin,"Drowsiness, headache, dry mouth",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Fexofenadine,"Drowsiness, headache, nausea",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Astelin,"Bitter taste, drowsiness, nasal irritation",Adult,Treatment of seasonal and perennial allergic rhinitis
Azelastine,"Bitter taste, drowsiness, nasal irritation",Adult,Treatment of seasonal and perennial allergic rhinitis
Allegra Allergy,"Headache, drowsiness, nausea",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Astepro,"Bitter taste, drowsiness, nasal irritation",Adult,Treatment of seasonal and perennial allergic rhinitis
Flonase Allergy Relief,"Nasal irritation, nosebleeds, headache",Adult,"Treatment of nasal allergy symptoms, such as congestion, sneezing, itching"
Dymista,"Nasal discomfort, bitter taste, headache",Adult,Treatment of seasonal and perennial allergic rhinitis
Clarinex,"Headache, drowsiness, dry mouth",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Nasacort Allergy 24HR,"Nasal irritation, headache, nosebleeds",Adult,"Treatment of nasal allergy symptoms, such as congestion, sneezing, itching"
Aller-Tec,"Drowsiness, dry mouth, headache",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Desloratadine,"Headache, dry mouth, fatigue",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Mometasone,"Nasal irritation, nosebleeds, headache",Adult,"Treatment of nasal allergy symptoms, such as congestion, sneezing, itching"
Phenergan,"Drowsiness, blurred vision, dry mouth",Adult,"Treatment of allergy symptoms, motion sickness, and nausea and vomiting"
Triamcinolone,"Skin irritation, itching, burning sensation",Adult,"Treatment of various skin conditions, such as eczema, dermatitis, and psoriasis"
Alavert,"Drowsiness, dry mouth, headache",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Allegra-D 12 Hour,"Headache, dry mouth, insomnia",Adult,Treatment of allergy symptoms and nasal congestion
Allegra-D 24 Hour,"Headache, dry mouth, insomnia",Adult,Treatment of allergy symptoms and nasal congestion
Allergy Relief Tablets,"Drowsiness, dry mouth, blurred vision",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Budesonide,"Nasal irritation, headache, nosebleeds",Adult,"Treatment of nasal allergy symptoms, such as congestion, sneezing, itching"
Claritin Reditabs,"Headache, dry mouth, drowsiness",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Flonase Sensimist,"Nasal irritation, nosebleeds, headache",Adult,"Treatment of nasal allergy symptoms, such as congestion, sneezing, itching"
Promethazine,"Drowsiness, dizziness, dry mouth",Adult,"Treatment of allergy symptoms, motion sickness, and nausea and vomiting"
Zyrtec-D,"Drowsiness, dry mouth, headache",Adult,Treatment of allergy symptoms and nasal congestion
All Day Allergy,"Drowsiness, dry mouth, headache",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
All Day Allergy Child,"Drowsiness, dry mouth, headache",Child,"Treatment of allergy symptoms in children, such as sneezing, itching, watery eyes"
Allegra ODT,"Headache, drowsiness, nausea",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Aller-Tec Child,"Drowsiness, dry mouth, headache",Child,"Treatment of allergy symptoms in children, such as sneezing, itching, watery eyes"
Allergy Relief 24 Hour,"Drowsiness, dry mouth, blurred vision",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Antinaus 50,"Drowsiness, dry mouth, blurred vision",Adult,Treatment of nausea and vomiting
Beclomethasone,"Nasal irritation, nosebleeds, headache",Adult,"Treatment of nasal allergy symptoms, such as congestion, sneezing, itching"
Cetirizine / Pseudoephedrine,"Nervousness, insomnia, increased heart rate",Adult,Treatment of allergy symptoms and nasal congestion
Child's Claritin Allergy,"Drowsiness, dry mouth, headache",Child,"Treatment of allergy symptoms in children, such as sneezing, itching, watery eyes"
Claritin-D,"Nervousness, insomnia, increased heart rate",Adult,Treatment of allergy symptoms and nasal congestion
Claritin-D 24 Hour,"Nervousness, insomnia, increased heart rate",Adult,Treatment of allergy symptoms and nasal congestion
Clinacort,"Nasal irritation, nosebleeds, headache",Adult,"Treatment of nasal allergy symptoms, such as congestion, sneezing, itching"
Cyproheptadine,"Drowsiness, dry mouth, blurred vision",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Flunisolide,"Nasal irritation, nosebleeds, headache",Adult,"Treatment of nasal allergy symptoms, such as congestion, sneezing, itching"
Loratadine-D 24 Hour,"Nervousness, insomnia, increased heart rate",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Ohm Allergy Relief,"Drowsiness, dry mouth, blurred vision",Adult,"Treatment of allergy symptoms, such as sneezing, itching, watery eyes"
Omnaris,"Nasal irritation, headache, nosebleeds",Adult,"Treatment of nasal allergy symptoms, such as congestion, sneezing, itching"
Patanase,"Nasal irritation, bitter taste, headache",Adult,"Treatment of nasal allergy symptoms, such as congestion and itching"
Phenadoz,"Drowsiness, dizziness, dry mouth",Child,Prevention and treatment of nausea and vomiting
Promethegan,"Drowsiness, dizziness, dry mouth",Child,Prevention and treatment of nausea and vomiting
QNASL,"Nasal irritation, headache",Child,"Treatment of nasal allergy symptoms, such as congestion and itching"
Tavist ND,"Drowsiness, dry mouth, blurred vision",Child,"Relief of allergy symptoms, such as runny nose and sneezing"
Ticanase,N/A,Child,Relief of nasal congestion and sinus pressure
Wal-itin,"Drowsiness, dry mouth",Child,"Relief of allergy symptoms, such as runny nose and sneezing"
ZoDex,N/A,Child,"Relief of allergy symptoms, such as sneezing and itchy eyes"
Zyrtec-D 12 Hour,"Drowsiness, dry mouth",Child,"Relief of allergy symptoms, such as sneezing and runny nose"
acrivastine / pseudoephedrine,"Drowsiness, dry mouth, increased heart rate",Child,"Relief of allergy symptoms, including nasal congestion and sneezing"
Aller-Ease,N/A,Child,"Relief of allergy symptoms, such as runny nose and sneezing"
Astepro Allergy,"Nasal irritation, headache",Child,"Treatment of nasal allergy symptoms, such as congestion and itching"
azelastine / fluticasone,"Nasal irritation, headache",Child,"Treatment of nasal allergy symptoms, such as congestion and itching"
Beconase AQ,"Nasal irritation, headache",Child,"Treatment of nasal allergy symptoms, such as congestion and itching"
Claritin-D 12 Hour,"Drowsiness, dry mouth",Child,"Relief of allergy symptoms, such as sneezing and runny nose"
fexofenadine / pseudoephedrine,"Drowsiness, dry mouth, increased heart rate",Child,"Relief of allergy symptoms, including nasal congestion and sneezing"
loratadine / pseudoephedrine,"Drowsiness, dry mouth, increased heart rate",Child,"Relief of allergy symptoms, including nasal congestion and sneezing"
Mucinex Allergy,"Drowsiness, dry mouth",Child,"Relief of allergy symptoms, such as sneezing and runny nose"
NasalCrom,"Nasal irritation, sneezing",Child,Prevention and treatment of nasal allergy symptoms
olopatadine,"Eye irritation, headache",Child,"Relief of eye allergy symptoms, such as itching and redness"
Rhinocort Allergy,"Nasal irritation, headache",Child,"Treatment of nasal allergy symptoms, such as congestion and itching"
Alavert D-12 Hour Allergy and Sinus,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and sinus congestion
All Day Allergy-D,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
Allerest Maximum Strength,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
Allergy & Congestion Relief,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
Allergy Relief D,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
Arbinoxa,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms
Brohist D,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
Bromaline,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms
brompheniramine / phenylephrine,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
brompheniramine / pseudoephedrine,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
Brotapp,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
carbinoxamine,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms
Carboxine,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms
chlorpheniramine / pseudoephedrine,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
ciclesonide,"Nasal irritation, headache",Child,"Treatment of nasal allergy symptoms, such as congestion and itching"
Clarinex-D 12 Hour,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
Clarinex-D 24 Hour,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
Clarinex Reditabs,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms
Clear-Atadine-D,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms
clemastine,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms
cromolyn,"Throat irritation, cough",Child,"Prevention and treatment of allergy symptoms, particularly in the respiratory tract"
Decon-A,"Drowsiness, dry mouth, increased heart rate",Child,Relief of nasal and sinus congestion
Deconamine,"Drowsiness, dry mouth, increased heart rate",Child,Relief of nasal and sinus congestion
desloratadine / pseudoephedrine,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
dexchlorpheniramine / phenylephrine,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
dexchlorpheniramine,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms
Dicel,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms
Dimetane Decongestant,"Drowsiness, dry mouth, increased heart rate",Child,Relief of nasal and sinus congestion
Dimetapp Children's Cold & Allergy,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms
Grastek,"Throat irritation, mouth swelling",Child,Treatment of grass pollen-induced allergic rhinitis
Histex CT,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms
Histex IE,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms
Histex PD,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms
house dust mite allergen extract,"Localized allergic reactions, injection site reactions",Child,Treatment of house dust mite-induced allergic rhinitis
Karbinal ER,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms
Leader Allergy Relief D-24,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
Lodrane D,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
LoHist-D,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
Loratadine-D 12 Hour,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
mixed grass pollens allergen extract,"Localized allergic reactions, injection site reactions",Child,Treatment of mixed grass pollen-induced allergic rhinitis
mometasone / olopatadine,"Nasal irritation, headache, nosebleeds",Child,"Treatment of nasal allergy symptoms such as congestion, runny nose, and sneezing"
Nasonex 24HR Allergy,"Nasal irritation, headache, nosebleeds",Child,"Treatment of nasal allergy symptoms such as congestion, runny nose, and sneezing"
Odactra,"Itching, swelling of the mouth or throat",Child,Treatment of house dust mite-induced allergic rhinitis
Oralair,"Itching, swelling of the mouth or throat",Child,Treatment of grass pollen-induced allergic rhinitis
Polmon,"Localized allergic reactions, injection site reactions",Child,Treatment of house dust mite-induced allergic rhinitis
ragweed pollen allergen extract,"Localized allergic reactions, injection site reactions",Child,Treatment of ragweed pollen-induced allergic rhinitis
Ragwitek,"Itching, swelling of the mouth or throat",Child,Treatment of ragweed pollen-induced allergic rhinitis
Ru-Hist D,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
Ryaltris,"Nasal discomfort, headache, nosebleeds",Child,"Treatment of nasal allergy symptoms such as congestion, runny nose, and sneezing"
Ryclora,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
Rymed,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
Rynex PE,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
Ryvent,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
Semprex-D,"Drowsiness, dry mouth, increased heart rate",Child,Relief of allergy symptoms and nasal congestion
SudoGest Sinus & Allergy,"Drowsiness, dry mouth, increased heart rate",Child,"Relief of nasal and sinus congestion, and allergy symptoms"
timothy grass pollen allergen extract,"Localized allergic reactions, injection site reactions",Child,Treatment of timothy grass pollen-induced allergic rhinitis
Zetonna,"Nasal discomfort, headache, nosebleeds",Child,"Treatment of nasal allergy symptoms such as congestion, runny nose, and sneezing"
acyclovir,"Nausea, vomiting, diarrhea, headache",Child,"Treatment of viral infections caused by herpes viruses, including cold sores and genital herpes"
valacyclovir,"Nausea, vomiting, diarrhea, headache",Child,"Treatment of viral infections caused by herpes viruses, including cold sores and genital herpes"
Zovirax Cream,"Skin irritation, redness, itching",Child,Treatment of cold sores caused by the herpes simplex virus
Abreva,"Skin irritation, redness, itching",Adult,Treatment of cold sores caused by the herpes simplex virus
acyclovir,"Nausea, vomiting, diarrhea, headache",Child,"Treatment of viral infections caused by herpes viruses, including cold sores and genital herpes"
Zovirax Ointment,"Skin irritation, redness, itching",Adult,Treatment of cold sores caused by the herpes simplex virus
